season,week,game_id,posteam,passer_player_name,passer_player_id,defteam,roof,is_home,l16_passing_yards,l16_yards_per_attempt,l16_attempts,l16_pass_td,l16_int,l16_wp,def16_passing_yards,def16_yards_per_attempt,def16_attempts,def16_pass_td,def16_int,def16_wp,pass_touchdown
2009,3,2009_03_SF_MIN,MIN,B.Favre,00-0005106,SF,1,1,196.75,5.723508401257427,34.875,1.375,1.3125,0.528276065272305,226.5625,6.19382005997874,37.1875,1.4375,0.8125,0.4826602344372699,2.0
2009,3,2009_03_SF_MIN,SF,S.Hill,32013030-2d30-3032-3036-3739dd380a34,MIN,1,0,200.27272727272728,6.009598249891575,34.27272727272727,1.2727272727272727,0.7272727272727273,0.5053665714925422,213.5,5.802126122412046,36.5,1.0,0.875,0.43679152887095063,2.0
2009,3,2009_03_TEN_NYJ,NYJ,M.Sanchez,32013030-2d30-3032-3638-3938d10b93b9,TEN,0,1,204.5,7.241263440860214,27.5,1.0,0.5,0.6877096043599229,223.9375,5.809212443708306,38.625,1.0625,0.9375,0.4210747146206681,2.0
2009,3,2009_03_TEN_NYJ,TEN,K.Collins,32013030-2d30-3030-3332-3932713f5047,NYJ,0,0,185.5625,5.827842182889652,30.5,0.8125,0.5625,0.5563557588148287,233.1875,6.016653067543088,38.9375,1.3125,0.9375,0.3983331101782061,1.0
2009,3,2009_03_WAS_DET,DET,M.Stafford,32013030-2d30-3032-3634-39382e08c011,WAS,1,1,167.0,4.730263157894736,35.0,0.5,2.5,0.19289418842105843,191.8125,5.905005587157982,32.6875,1.0625,0.6875,0.5219514403048914,1.0
2009,3,2009_03_WAS_DET,WAS,J.Campbell,32013030-2d30-3032-3334-3630311d0939,DET,1,0,186.4375,5.646125314431766,33.9375,0.75,0.4375,0.43547851125339787,233.75,7.557393637054298,30.5,1.8125,0.3125,0.6753193956290072,2.0
2009,4,2009_04_BAL_NE,BAL,J.Flacco,32013030-2d30-3032-3631-3538c6a10853,NE,0,0,185.25,6.368374812203028,29.1875,1.1875,0.625,0.6080859629007377,196.3125,6.224212051530394,31.4375,1.6875,0.75,0.398197362302022,2.0
2009,4,2009_04_BAL_NE,NE,T.Brady,32013030-2d30-3031-3935-39361b587621,BAL,0,1,234.25,6.16787556415216,39.0,0.75,0.5,0.5132446296736133,202.0,5.39842619458195,37.125,1.0,1.8125,0.332933592299629,1.0
2009,4,2009_04_BUF_MIA,BUF,T.Edwards,32013030-2d30-3032-3534-37392cb6f6b5,MIA,0,0,178.3125,6.084879893422457,29.25,0.875,0.75,0.43410780975810587,232.875,6.3919960160865115,37.0,0.9375,1.0625,0.44072301756314153,1.0
2009,4,2009_04_BUF_MIA,MIA,C.Henne,32013030-2d30-3032-3631-3937880c57ee,BUF,0,1,76.5,4.941666666666666,16.0,0.0,0.5,0.08549138606576889,226.875,6.538914554049662,35.125,1.0625,0.6875,0.5635707017502709,1.0
2009,4,2009_04_CIN_CLE,CIN,C.Palmer,32013030-2d30-3032-3134-32391c8963bc,CLE,0,0,176.14285714285714,5.0508596500931,34.857142857142854,1.0,1.1428571428571428,0.34276871206814113,209.5,6.678003663936359,30.6875,1.25,1.25,0.5727952996058918,2.0
